date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
01.09.2019,Monagas,1,,Puerto Cabello,1,,Primera Division
01.09.2019,Caracas,1,,Zulia,2,,Primera Division
01.09.2019,AC Lala FC,1,,Metropolitanos,0,,Primera Division
01.09.2019,Atl. Venezuela,0,,Zamora,2,,Primera Division
01.09.2019,Estudiantes Merida,1,,Trujillanos,2,,Primera Division
31.08.2019,Mineros,2,,Aragua,0,,Primera Division
31.08.2019,Carabobo,3,,Llaneros,1,,Primera Division
31.08.2019,Estudiantes Caracas,0,,Lara,0,,Primera Division
31.08.2019,Portuguesa,1,,La Guaira,0,,Primera Division
28.08.2019,Puerto Cabello,3,,Zulia,3,,Primera Division
25.08.2019,Dep. Tachira,3,,Mineros,2,,Primera Division
25.08.2019,Puerto Cabello,1,,Estudiantes Merida,1,,Primera Division
25.08.2019,Trujillanos,0,,Caracas,0,,Primera Division
25.08.2019,La Guaira,2,,Carabobo,0,,Primera Division
25.08.2019,Lara,0,,Atl. Venezuela,1,,Primera Division
25.08.2019,Llaneros,3,,Estudiantes Caracas,1,,Primera Division
24.08.2019,AC Lala FC,0,,Portuguesa,2,,Primera Division
24.08.2019,Metropolitanos,3,,Zulia,0,,Primera Division
23.08.2019,Aragua,1,,Monagas,1,,Primera Division
19.08.2019,Estudiantes Caracas,0,,La Guaira,1,,Primera Division
19.08.2019,Zulia,3,,Trujillanos,2,,Primera Division
18.08.2019,Monagas,2,,Dep. Tachira,1,,Primera Division
18.08.2019,Caracas,4,,Puerto Cabello,1,,Primera Division
18.08.2019,Atl. Venezuela,1,,Llaneros,4,,Primera Division
18.08.2019,Estudiantes Merida,0,,Aragua,2,,Primera Division
17.08.2019,Mineros,3,,Zamora,0,,Primera Division
17.08.2019,Carabobo,0,,AC Lala FC,0,,Primera Division
17.08.2019,Portuguesa,0,,Metropolitanos,0,,Primera Division
15.08.2019,La Guaira,1,,Atl. Venezuela,1,,Primera Division
14.08.2019,Dep. Tachira,1,,Estudiantes Merida,0,,Primera Division
14.08.2019,Aragua,1,,Caracas,0,,Primera Division
14.08.2019,Zamora,1,,Monagas,1,,Primera Division
14.08.2019,AC Lala FC,2,,Estudiantes Caracas,2,,Primera Division
14.08.2019,Lara,1,,Mineros,1,,Primera Division
14.08.2019,Metropolitanos,4,,Trujillanos,3,,Primera Division
14.08.2019,Portuguesa,0,,Carabobo,1,,Primera Division
11.08.2019,Atl. Venezuela,1,,AC Lala FC,1,,Primera Division
11.08.2019,Estudiantes Merida,0,,Zamora,0,,Primera Division
11.08.2019,Mineros,1,,Llaneros,1,,Primera Division
11.08.2019,Trujillanos,2,,Puerto Cabello,0,,Primera Division
10.08.2019,Monagas,1,,Lara,1,,Primera Division
10.08.2019,Carabobo,1,,Metropolitanos,1,,Primera Division
10.08.2019,Caracas,0,,Dep. Tachira,0,,Primera Division
10.08.2019,Estudiantes Caracas,0,,Portuguesa,1,,Primera Division
04.08.2019,Dep. Tachira,2,,Zulia,0,,Primera Division
04.08.2019,Zamora,0,,Caracas,1,,Primera Division
04.08.2019,La Guaira,1,,Mineros,1,,Primera Division
04.08.2019,Lara,2,,Estudiantes Merida,1,,Primera Division
04.08.2019,Llaneros,0,,Monagas,1,,Primera Division
03.08.2019,Aragua,0,,Trujillanos,1,,Primera Division
03.08.2019,Metropolitanos,2,,Puerto Cabello,3,,Primera Division
03.08.2019,Portuguesa,0,,Atl. Venezuela,0,,Primera Division
03.08.2019,Carabobo,1,,Estudiantes Caracas,3,,Primera Division
28.07.2019,Caracas,0,,Lara,3,,Primera Division
28.07.2019,Atl. Venezuela,2,,Carabobo,1,,Primera Division
28.07.2019,Estudiantes Merida,3,,Llaneros,0,,Primera Division
28.07.2019,Mineros,1,,AC Lala FC,0,,Primera Division
28.07.2019,Puerto Cabello,1,,Aragua,2,,Primera Division
28.07.2019,Trujillanos,3,,Dep. Tachira,1,,Primera Division
27.07.2019,Monagas,2,,La Guaira,2,,Primera Division
27.07.2019,Estudiantes Caracas,0,,Metropolitanos,2,,Primera Division
26.07.2019,Zulia,1,,Zamora,0,,Primera Division
30.06.2019,Mineros,0,0.0,Estudiantes Merida,1,0.0,Primera Division
23.06.2019,Estudiantes Merida,0,,Mineros,0,,Primera Division
16.06.2019,Mineros,1,0.0,Zulia,0,0.0,Primera Division
16.06.2019,Carabobo,1,,Estudiantes Merida,2,,Primera Division
09.06.2019,Estudiantes Merida,0,,Carabobo,1,,Primera Division
09.06.2019,Zulia,0,,Mineros,0,,Primera Division
03.06.2019,Caracas,1,,Zulia,2,,Primera Division
02.06.2019,Estudiantes Merida,1,,Aragua,1,,Primera Division
01.06.2019,Mineros,1,,Zamora,0,,Primera Division
31.05.2019,Carabobo,1,,Atl. Venezuela,0,,Primera Division
27.05.2019,Atl. Venezuela,2,,Carabobo,2,,Primera Division
26.05.2019,Aragua,1,,Estudiantes Merida,2,,Primera Division
25.05.2019,Zulia,3,,Caracas,2,,Primera Division
24.05.2019,Zamora,2,,Mineros,1,,Primera Division
19.05.2019,Aragua,1,,Metropolitanos,0,,Primera Division
19.05.2019,Atl. Venezuela,2,,Estudiantes Caracas,1,,Primera Division
19.05.2019,Estudiantes Merida,2,,La Guaira,2,,Primera Division
19.05.2019,Mineros,6,,Portuguesa,0,,Primera Division
19.05.2019,Monagas,3,,AC Lala FC,0,,Primera Division
19.05.2019,Puerto Cabello,2,,Dep. Tachira,2,,Primera Division
19.05.2019,Trujillanos,0,,Zamora,3,,Primera Division
19.05.2019,Zulia,1,,Lara,0,,Primera Division
18.05.2019,Caracas,5,,Llaneros,0,,Primera Division
18.05.2019,Dep. Anzoategui,0,,Carabobo,1,,Primera Division
12.05.2019,AC Lala FC,1,,Estudiantes Merida,1,,Primera Division
12.05.2019,Dep. Tachira,1,,Aragua,2,,Primera Division
12.05.2019,Estudiantes Caracas,4,,Dep. Anzoategui,2,,Primera Division
12.05.2019,La Guaira,1,,Caracas,4,,Primera Division
12.05.2019,Lara,2,,Trujillanos,1,,Primera Division
12.05.2019,Llaneros,0,,Zulia,1,,Primera Division
12.05.2019,Portuguesa,3,,Monagas,1,,Primera Division
12.05.2019,Zamora,2,,Puerto Cabello,2,,Primera Division
11.05.2019,Carabobo,1,,Mineros,1,,Primera Division
11.05.2019,Metropolitanos,0,,Atl. Venezuela,1,,Primera Division
05.05.2019,Caracas,2,,AC Lala FC,2,,Primera Division
05.05.2019,Estudiantes Merida,1,,Portuguesa,1,,Primera Division
05.05.2019,Mineros,2,,Estudiantes Caracas,1,,Primera Division
05.05.2019,Monagas,2,,Carabobo,4,,Primera Division
05.05.2019,Trujillanos,1,,Llaneros,3,,Primera Division
05.05.2019,Zulia,1,,La Guaira,0,,Primera Division
04.05.2019,Metropolitanos,3,,Dep. Tachira,0,,Primera Division
04.05.2019,Dep. Anzoategui,2,,Atl. Venezuela,1,,Primera Division
03.05.2019,Puerto Cabello,2,,Lara,0,,Primera Division
03.05.2019,Aragua,0,,Zamora,2,,Primera Division
01.05.2019,Zulia,0,,Monagas,0,,Primera Division
29.04.2019,Zamora,2,,Dep. Tachira,2,,Primera Division
28.04.2019,Lara,1,,Aragua,2,,Primera Division
28.04.2019,Atl. Venezuela,1,,Mineros,1,,Primera Division
28.04.2019,La Guaira,6,,Trujillanos,0,,Primera Division
28.04.2019,Llaneros,3,,Puerto Cabello,2,,Primera Division
28.04.2019,Estudiantes Caracas,2,,Monagas,2,,Primera Division
