date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
01.09.2019,Danubio,0,,River Plate,1,,Primera Division
01.09.2019,Nacional,3,,Penarol,0,,Primera Division
31.08.2019,Wanderers,0,,CA Cerro,1,,Primera Division
31.08.2019,Cerro Largo,1,,Fenix,0,,Primera Division
31.08.2019,Defensor Sp.,2,,Boston River,2,,Primera Division
31.08.2019,Liverpool M.,3,,Plaza Colonia,0,,Primera Division
31.08.2019,Progreso,0,,Juventud,0,,Primera Division
31.08.2019,Racing Montevideo,2,,Rampla Juniors,4,,Primera Division
25.08.2019,Defensor Sp.,3,,Danubio,1,,Primera Division
25.08.2019,CA Cerro,0,,Fenix,1,,Primera Division
25.08.2019,Juventud,0,,Nacional,2,,Primera Division
25.08.2019,Rampla Juniors,1,,Liverpool M.,2,,Primera Division
24.08.2019,Boston River,1,,Progreso,1,,Primera Division
24.08.2019,Plaza Colonia,3,,Cerro Largo,1,,Primera Division
24.08.2019,Racing Montevideo,2,,Wanderers,2,,Primera Division
24.08.2019,River Plate,1,,Penarol,0,,Primera Division
18.08.2019,Penarol,0,,Juventud,0,,Primera Division
18.08.2019,Liverpool M.,3,,Racing Montevideo,1,,Primera Division
18.08.2019,Progreso,3,,Defensor Sp.,1,,Primera Division
18.08.2019,Wanderers,4,,Rampla Juniors,3,,Primera Division
17.08.2019,Cerro Largo,2,,CA Cerro,0,,Primera Division
17.08.2019,Danubio,1,,Boston River,2,,Primera Division
17.08.2019,Fenix,0,,Plaza Colonia,1,,Primera Division
17.08.2019,Nacional,1,,River Plate,1,,Primera Division
11.08.2019,Defensor Sp.,2,,Penarol,2,,Primera Division
11.08.2019,Plaza Colonia,0,,CA Cerro,0,,Primera Division
11.08.2019,Progreso,2,,Danubio,0,,Primera Division
11.08.2019,Racing Montevideo,3,,Fenix,1,,Primera Division
10.08.2019,Boston River,0,,Nacional,0,,Primera Division
10.08.2019,Juventud,1,,River Plate,2,,Primera Division
10.08.2019,Liverpool M.,3,,Wanderers,1,,Primera Division
10.08.2019,Rampla Juniors,1,,Cerro Largo,1,,Primera Division
28.07.2019,Cerro Largo,1,,Liverpool M.,0,,Primera Division
28.07.2019,CA Cerro,1,,Racing Montevideo,2,,Primera Division
28.07.2019,Fenix,3,,Wanderers,0,,Primera Division
28.07.2019,Juventud,1,,Boston River,0,,Primera Division
27.07.2019,Nacional,4,,Progreso,2,,Primera Division
27.07.2019,Penarol,2,,Danubio,0,,Primera Division
27.07.2019,Plaza Colonia,1,,Rampla Juniors,2,,Primera Division
27.07.2019,River Plate,2,,Defensor Sp.,1,,Primera Division
21.07.2019,Boston River,0,,River Plate,0,,Primera Division
21.07.2019,Danubio,1,,Nacional,2,,Primera Division
21.07.2019,Liverpool M.,5,,Fenix,1,,Primera Division
21.07.2019,Rampla Juniors,0,,CA Cerro,1,,Primera Division
20.07.2019,Defensor Sp.,1,,Juventud,1,,Primera Division
20.07.2019,Progreso,1,,Penarol,1,,Primera Division
20.07.2019,Racing Montevideo,0,,Plaza Colonia,2,,Primera Division
20.07.2019,Wanderers,1,,Cerro Largo,2,,Primera Division
14.07.2019,Penarol,4,,Boston River,0,,Primera Division
14.07.2019,Fenix,1,,Rampla Juniors,0,,Primera Division
14.07.2019,Plaza Colonia,2,,Wanderers,1,,Primera Division
14.07.2019,River Plate,0,,Progreso,0,,Primera Division
13.07.2019,Nacional,1,,Defensor Sp.,2,,Primera Division
13.07.2019,CA Cerro,0,,Liverpool M.,2,,Primera Division
13.07.2019,Cerro Largo,3,,Racing Montevideo,0,,Primera Division
13.07.2019,Juventud,2,,Danubio,2,,Primera Division
05.06.2019,Liverpool M.,2,,CA Cerro,2,,Primera Division
02.06.2019,Cerro Largo,1,,Penarol,0,,Primera Division
02.06.2019,CA Cerro,3,,Wanderers,0,,Primera Division
02.06.2019,Danubio,1,,Boston River,0,,Primera Division
02.06.2019,River Plate,0,,Liverpool M.,0,,Primera Division
01.06.2019,Fenix,3,,Rampla Juniors,1,,Primera Division
01.06.2019,Plaza Colonia,4,,Racing Montevideo,1,,Primera Division
01.06.2019,Progreso,0,,Defensor Sp.,3,,Primera Division
31.05.2019,Nacional,1,,Juventud,0,,Primera Division
26.05.2019,Penarol,2,,Progreso,2,,Primera Division
26.05.2019,Boston River,2,,Cerro Largo,3,,Primera Division
26.05.2019,Racing Montevideo,0,,Danubio,2,,Primera Division
26.05.2019,Wanderers,2,,Plaza Colonia,2,,Primera Division
25.05.2019,Defensor Sp.,2,,Fenix,4,,Primera Division
25.05.2019,Juventud,4,,River Plate,1,,Primera Division
25.05.2019,Rampla Juniors,0,,Nacional,3,,Primera Division
19.05.2019,Nacional,1,,Defensor Sp.,0,,Primera Division
19.05.2019,Boston River,2,,Racing Montevideo,1,,Primera Division
19.05.2019,Cerro Largo,0,,Progreso,0,,Primera Division
18.05.2019,CA Cerro,1,,Juventud,0,,Primera Division
18.05.2019,Danubio,0,,Wanderers,2,,Primera Division
18.05.2019,Fenix,1,,Penarol,2,,Primera Division
18.05.2019,Plaza Colonia,1,,Liverpool M.,2,,Primera Division
18.05.2019,River Plate,2,,Rampla Juniors,1,,Primera Division
12.05.2019,Penarol,1,,Nacional,1,,Primera Division
11.05.2019,Defensor Sp.,1,,River Plate,1,,Primera Division
11.05.2019,Juventud,0,,Plaza Colonia,0,,Primera Division
11.05.2019,Liverpool M.,0,,Danubio,5,,Primera Division
11.05.2019,Racing Montevideo,1,,Cerro Largo,0,,Primera Division
11.05.2019,Rampla Juniors,2,,CA Cerro,0,,Primera Division
11.05.2019,Wanderers,0,,Boston River,3,,Primera Division
11.05.2019,Progreso,3,,Fenix,0,,Primera Division
05.05.2019,Cerro Largo,2,,Fenix,0,,Primera Division
05.05.2019,CA Cerro,0,,Defensor Sp.,2,,Primera Division
05.05.2019,Danubio,4,,Juventud,3,,Primera Division
05.05.2019,Racing Montevideo,2,,Wanderers,4,,Primera Division
04.05.2019,Nacional,4,,Progreso,0,,Primera Division
04.05.2019,Boston River,0,,Liverpool M.,4,,Primera Division
04.05.2019,Plaza Colonia,0,,Rampla Juniors,1,,Primera Division
04.05.2019,River Plate,0,,Penarol,2,,Primera Division
23.04.2019,Wanderers,0,,Cerro Largo,0,,Primera Division
21.04.2019,Defensor Sp.,4,,Plaza Colonia,1,,Primera Division
21.04.2019,Juventud,0,,Boston River,1,,Primera Division
21.04.2019,Liverpool M.,1,,Racing Montevideo,1,,Primera Division
20.04.2019,Penarol,1,,CA Cerro,1,,Primera Division
20.04.2019,Fenix,4,,Nacional,4,,Primera Division
20.04.2019,Progreso,4,,River Plate,0,,Primera Division
20.04.2019,Rampla Juniors,0,,Danubio,0,,Primera Division
14.04.2019,Cerro Largo,2,,Nacional,2,,Primera Division
14.04.2019,Boston River,1,,Rampla Juniors,1,,Primera Division
14.04.2019,Racing Montevideo,2,,Juventud,1,,Primera Division
14.04.2019,River Plate,2,,Fenix,2,,Primera Division
13.04.2019,Plaza Colonia,0,,Penarol,1,,Primera Division
13.04.2019,Wanderers,2,,Liverpool M.,1,,Primera Division
13.04.2019,CA Cerro,0,,Progreso,2,,Primera Division
13.04.2019,Danubio,1,,Defensor Sp.,1,,Primera Division
07.04.2019,Defensor Sp.,0,,Boston River,0,,Primera Division
07.04.2019,Fenix,2,,CA Cerro,1,,Primera Division
07.04.2019,Liverpool M.,3,,Cerro Largo,2,,Primera Division
07.04.2019,Progreso,0,,Plaza Colonia,1,,Primera Division
06.04.2019,Penarol,1,,Danubio,0,,Primera Division
06.04.2019,Juventud,4,,Wanderers,1,,Primera Division
06.04.2019,Nacional,6,,River Plate,0,,Primera Division
06.04.2019,Rampla Juniors,2,,Racing Montevideo,0,,Primera Division
31.03.2019,Danubio,3,,Progreso,2,,Primera Division
31.03.2019,Plaza Colonia,2,,Fenix,2,,Primera Division
31.03.2019,Racing Montevideo,4,,Defensor Sp.,2,,Primera Division
31.03.2019,Wanderers,1,,Rampla Juniors,0,,Primera Division
30.03.2019,Boston River,0,,Penarol,4,,Primera Division
30.03.2019,Cerro Largo,2,,River Plate,0,,Primera Division
30.03.2019,CA Cerro,0,,Nacional,2,,Primera Division
30.03.2019,Liverpool M.,2,,Juventud,1,,Primera Division
24.03.2019,Defensor Sp.,1,,Wanderers,1,,Primera Division
24.03.2019,Juventud,1,,Cerro Largo,0,,Primera Division
24.03.2019,Nacional,3,,Plaza Colonia,0,,Primera Division
